Id,Label
nm0002072,Mel Ferrer
nm0095245,Alberto Bonucci
nm0026088,Asbjørn Andersen
nm0537260,Preben Mahrt
nm0000056,Paul Newman
nm0492444,Peter Lawford
nm0340926,Helmut Griem
nm0486089,Carl Lange
nm0141361,Peter Carsten
nm0000020,Henry Fonda
nm0339992,John Gregson
nm0409869,John Ireland
nm0219221,Michael Denison
nm0001362,Bob Hope
nm0214529,Don DeFore
nm0017771,Luis Aldás
nm0144045,Jean-Pierre Cassel
nm0657404,Palau
nm0313443,Götz George
nm0231431,Friedrich Domin
nm0050482,Vincent Ball
nm0725643,Pedrito Rico
nm0002816,Miguel Ligero
nm0529955,Rafael López Somoza
nm0512924,Eduard Linkers
nm0195422,Alexander D'Arcy
nm0226657,Alain Dijon
nm0034936,Jesús Aristu
nm0681470,Ángel Picazo
nm0530020,Arturo López
nm0305569,Arturo García Buhr
nm0615511,Lautaro Murúa
nm0269420,Leonardo Favio
nm0000062,Elvis Presley
nm0002079,Steve Forrest
nm0281884,Steen Flensmark
nm0311428,Per Geckler
nm0583207,Johannes Meyer
nm0833138,Erwin Strahl
nm0376842,Jan Hendriks
nm0230416,Christian Doermer
nm0812402,Narziß Sokatscheff
nm0897585,Claudio Villa
nm0000865,Richard Basehart
nm0260020,Stuart Erwin
nm0793168,Arthur Shields
nm0106062,Danny Bravo
nm0605786,Henning Moritzen
nm0753262,Jørgen Ryg
nm0883245,Pierre-Jean Vaillard
nm0694918,Rudolf Prack
nm0509776,Albert Lieven
nm0333746,Robert Graf
nm0236621,Heinz Drache
nm0582988,Harry Meyen
nm0922229,Martin West
nm0483173,Jack Lambert
nm0669488,Steve Peck
nm0703843,Freddy Quinn
nm0662116,Cecil Parker
nm0000846,Ian Bannen
nm0848796,Takahiro Tamura
nm0406740,Kôshirô Matsumoto
nm0605662,Hisaya Morishige
nm0227358,Toma Dimitriu
nm0695137,Nicolae Praida
nm0714287,Victor Rebengiuc
nm0123972,Ernst Busch
nm0315116,Erwin Geschonneck
nm0472545,Manfred Krug
nm0547028,Edwin Marian
nm0701633,Antal Páger
nm0538672,Zoltán Makláry
nm0412251,Robert Ivers
nm0235093,James Douglas
nm0000010,James Cagney
nm0915840,Dennis Weaver
nm0182626,Ward Costello
nm0853299,Vaughn Taylor
nm0885203,Raf Vallone
nm0144875,Nino Castelnuovo
nm0586227,Tatsuya Mihashi
nm0579400,Carlos Mendy
nm0900957,Rudolf Vogel
nm0853565,Spencer Teakle
nm0072578,Martin Benson
nm0007234,Wolfgang Preiss
nm0221527,Ivan Desny
nm0137029,Roland Carey
nm0267838,Alberto Farnese
nm0351901,Kurt Haars
nm0687257,Jörg Pleva
nm0061309,Rik Battaglia
nm0634313,Lloyd Nolan
nm0345073,Gustaf Gründgens
nm0392436,Hans Holt
