Id,Label
nm0136159,Giuseppe Carbone
nm0763847,Pippo Santonastaso
nm0087265,Hugo Blanco
nm0001088,Peter Cushing
nm0830153,Hugo Stiglitz
nm0099560,Max H. Boulois
nm0614120,Brian Murphy
nm0297483,Tony Fuentes
nm0286617,Dan Forrest
nm0289343,Robert Foxworth
nm0001765,Harry Dean Stanton
nm0377631,Krister Henriksson
nm0512537,Åke Lindström
nm0511856,Peter Lindgren
nm0281313,John Flaus
nm0670323,Salmaan Peerzada
nm0044706,Kabuli Baba
nm0566899,Charles McCrann
nm0375036,Dennis Helfend
nm0360143,Kevin Hanlon
nm0584977,Danilo Micheli
nm0040173,Bobby Astyr
nm0003501,Jamie Gillis
nm0754479,Piero Santi
nm0000803,Christopher Atkins
nm0571674,Leo McKern
nm0200122,William Daniels
nm0000004,John Belushi
nm0000101,Dan Aykroyd
nm0130572,Cab Calloway
nm0001006,John Candy
nm0638434,Juraj Nvota
nm0647429,Vít Olmer
nm0689990,Bolek Polívka
nm0851406,Walter Taub
nm0756889,Viktor Saitov
nm0343024,Roman Gromadskiy
nm0756940,Gennady Sayfulin
nm0493738,Evgeniy Lazarev
nm0063502,Scott Beach
nm0006837,Bill Melendez
nm0522392,Nicholas Love
nm0000314,Charles Bronson
nm0456124,Bruno Kirby
nm0719037,Bert Remsen
nm0503627,Michael Lerner
nm0644655,Franck Oger
nm0003133,Jean-Christophe Bouvet
nm0094726,Pascal Bonitzer
nm0172025,Philippe Collin
nm0232628,Pierre Donnadieu
nm0248922,François Ede
nm0200057,Phil Daniels
nm0277424,Jon Finch
nm0000596,Jonathan Pryce
nm0112804,Jean-Louis Broust
nm0001079,Scatman Crothers
nm0197777,Sam Dale
nm0247548,Robert East
nm0000602,Robert Redford
nm0001433,Yaphet Kotto
nm0000151,Morgan Freeman
nm0793384,Kien Shih
nm0359171,Kwok-Choi Hon
nm0265761,Eduardo Fajardo
nm0176035,George Constantin
nm0225216,Ion Dichiseanu
nm0678430,Emanoil Petrut
nm0720029,Alexandru Repan
nm0519391,Alan Longmuir
nm0940017,Stuart 'Woody' Wood
nm0929093,José Wilker
nm0433783,Fábio Jr.
nm0889136,Aleksey Vanin
nm0558341,Anatoliy Mateshko
nm0606142,Boris Morozov
nm0747815,Sergey Rubeko
nm0246775,Charlie Díez Gómez
nm0036136,Jacques Arndt
nm0001673,Jason Robards
nm0562210,Antonio Mayans
nm0127656,Antônio do Cabo
nm0000331,Chevy Chase
nm0001098,Rodney Dangerfield
nm0000195,Bill Murray
nm0461095,Ted Knight
nm0542063,Nino Manfredi
nm0148041,Adolfo Celi
nm0135671,Vittorio Caprioli
nm0583857,Vittorio Mezzogiorno
nm0785664,Michel Serrault
nm0301556,Michel Galabru
nm0801163,Ray Simpson
nm0388317,David Hodo
nm0741377,Felipe Rose
nm0429063,Randy Jones
nm0484376,Alfredo Landa
nm0854177,Manuel Tejada
nm0185504,Gheorghe Cozorici
nm0630197,Sergiu Nicolaescu
nm0078725,Ion Besoiu
nm0194745,Pancho Córdova
nm0328024,Alberto González
nm0091475,Jordi Bofill
nm0329340,Garry Goodrow
nm0151033,Michael Paul Chan
nm0301178,Max Gail
nm0876578,Ricardo Tundidor
nm0749817,Pepe Ruiz
nm0596701,Paul Naschy
nm0548132,Kogi Maritugu
nm0000997,Gary Busey
nm0005371,Robbie Robertson
nm0871456,Joey Travolta
nm0529890,Ricardo Palacios
nm0715127,Emiliano Redondo
nm0381450,David Hess
nm0290628,Pippo Franco
nm0093585,Bombolo
nm0593192,Cameron Mitchell
nm0492908,Marc Lawrence
nm0596959,Richard Moll
nm0002181,Imanol Arias
nm0070281,Miguel Benavides
nm0042104,Michel Aumont
nm0147561,Daniel Ceccaldi
nm0579500,Bernard Menez
nm0380399,Eloy Herrera
nm0884409,Pedro Valentín
nm0252723,Emilio El Moro
nm0053543,Luis Barbero
nm0489311,Gérard Lartigau
nm0656647,Jason Piao Pai
nm0001950,Steve Bisley
nm0860665,Ross Thompson
nm0182995,Ralph Cotterill
nm0049245,Arun Bakshi
nm0080179,Suresh Bhagwat
nm0000164,Anthony Hopkins
nm0104787,Michael Brandon
nm0001715,George C. Scott
nm0002048,Melvyn Douglas
