Source,Target,Label,Weight
nm0441955,nm0637508,tt0082528,6
nm0203246,nm0441955,tt0082528,3
nm0441955,nm0851780,tt0082528,4
nm0637508,nm0755974,tt0082528,5
nm0203246,nm0755974,tt0082528,3
nm0755974,nm0851780,tt0082528,3
nm0203246,nm0637508,tt0082528,3
nm0637508,nm0851780,tt0082528,4
nm0203246,nm0851780,tt0082528,4
nm0029242,nm0851522,tt0082539,3
nm0634159,nm0734000,tt0082547,3
nm0264688,nm0382327,tt0082547,3
nm0192176,nm0559769,tt0082559,3
nm0238489,nm0559769,tt0082559,12
nm0192176,nm0289576,tt0082559,3
nm0238489,nm0289576,tt0082559,19
nm0814242,nm0814773,tt0082567,10
nm0473162,nm0560727,tt0082576,3
nm0458722,nm0473162,tt0082576,4
nm0473162,nm0669604,tt0082576,3
nm0458722,nm0560727,tt0082576,3
nm0560727,nm0669604,tt0082576,3
nm0458722,nm0669604,tt0082576,5
nm0006664,nm0647429,tt0082577,3
nm0424220,nm0647429,tt0082577,4
nm0000821,nm0025627,tt0082594,3
nm0000821,nm0025613,tt0082594,3
nm0161615,nm0689990,tt0082599,3
nm0001681,nm0767741,tt0082622,3
nm0000821,nm0576488,tt0082644,4
nm0434318,nm0451166,tt0082644,3
nm0002157,nm0062353,tt0082651,7
nm0092482,nm0865396,tt0082666,3
nm0129970,nm0865396,tt0082666,3
nm0548654,nm0865396,tt0082666,3
nm0297064,nm0617504,tt0082671,6
nm0151068,nm0628827,tt0082675,7
nm0000305,nm0293989,tt0082679,4
nm0000305,nm0242637,tt0082679,3
nm0242637,nm0293989,tt0082679,3
nm0003508,nm0496312,tt0082690,5
nm0000154,nm0371249,tt0082694,3
nm0150057,nm0785664,tt0082701,3
nm0014227,nm0407990,tt0082704,5
nm0161149,nm0407990,tt0082704,3
nm0711648,nm0773365,tt0082708,6
nm0156955,nm0874676,tt0082712,5
nm0157971,nm0874676,tt0082712,4
nm0157971,nm0232504,tt0082712,3
nm0232504,nm0525475,tt0082712,4
nm0073053,nm0598102,tt0082714,7
nm0207401,nm0598102,tt0082714,8
nm0598102,nm0684083,tt0082714,3
nm0073053,nm0684083,tt0082714,4
nm0207401,nm0684083,tt0082714,4
nm0001945,nm0173354,tt0082726,3
nm0001970,nm0843640,tt0082736,3
nm0001970,nm0229569,tt0082736,3
nm0229569,nm0843640,tt0082736,3
nm0024589,nm0179281,tt0082741,4
nm0179278,nm0179281,tt0082741,3
nm0000905,nm0148437,tt0082752,5
nm0401201,nm0401204,tt0082761,5
nm0401204,nm0401207,tt0082761,3
nm0150850,nm0298689,tt0082762,9
nm0000983,nm0569606,tt0082764,4
nm0001206,nm0820669,tt0082776,7
nm0001501,nm0001728,tt0082783,3
nm0344873,nm0344875,tt0082787,3
nm0611520,nm0713592,tt0082796,3
