Id,category,Label
nm0611652,director,Edoardo Mulargia
nm0158457,writer,Sergio Chiusi
nm0200012,writer,Anthony La Penna
nm0097392,actor,Christian Borromeo
nm0349427,actor,Emilio Gutiérrez Caba
nm0488574,director,José Ramón Larraz
nm0665113,writer,Sergio Pastore
nm0007023,actor,José Luis López Vázquez
nm0616385,actor,Chema Muñoz
nm0379872,director,Antonio Hernández
nm0379840,writer,Avelino Hernández Núñez
nm0857776,actor,Jean-Marc Thibault
nm0260520,actor,Leny Escudéro
nm0435726,actor,Jean-Pierre Kalfon
nm0092372,director,Yves Boisset
nm0892071,writer,Claude Veillot
nm0019330,actor,Francisco Algora
nm0900393,actor,José Vivó
nm0079244,director,Francesc Betriu
nm0379586,writer,Gustau Hernández
nm0741804,writer,Benet Rossell
nm0388367,actor,Hoi Mang
nm0157304,actor,Yuet-Sang Chin
nm0526694,actor,Fei Lung
nm0848796,actor,Takahiro Tamura
nm0851300,actor,Ryutaro Tatsumi
nm0331834,director,Toshio Gotô
nm0648774,writer,Ryûnosuke Ono
nm0137728,actor,José Carlos Ruiz
nm0736035,actor,Milton Rodríguez
nm0032853,director,Raúl Araiza
nm0298116,writer,Gerardo Fulgueira
nm0464857,actor,Gábor Koncz
nm0642924,actor,István O. Szabó
nm0432098,actor,Jácint Juhász
nm0299586,director,Zoltán Fábri
nm0051360,writer,József Balázs
nm0656367,actor,Tony Page
nm0785435,actor,Raymond Serra
nm0013972,director,Mac Ahlberg
nm0850855,writer,William Tasgal
nm0752922,actor,Eldar Ryazanov
nm0463805,actor,Mikhail Kokshenov
nm0103932,writer,Emil Braginskiy
nm0226244,director,Erwin C. Dietrich
nm0704496,writer,Melvin Quiñones
nm0826005,actor,Sigfrit Steiner
nm0127280,actor,Paul Bühlmann
nm0617387,actor,Otto Mächtlinger
nm0002699,director,Xavier Koller
nm0679466,actor,Jörg Pfennigwerth
nm0830439,actor,Kiev Stingl
nm0121007,actor,Eric Burdon
nm0124044,director,Christel Buschmann
nm0542721,actor,Dieter Mann
nm0062479,actor,Peter Bause
nm0958139,director,Herrmann Zschoche
nm0065304,writer,Werner Beck
nm0687165,writer,Ulrich Plenzdorf
nm0260479,director,António Escudeiro
nm0336198,actor,Robert Gravel
nm0558853,actor,Jean Mathieu
nm0796449,actor,Gilbert Sicotte
nm0848936,director,Paul Tana
nm0953400,actor,Manuel Zarzo
nm0273888,actor,Antonio Ferrandis
nm0407142,actor,Pompín Iglesias
